ime,st_prebivalcev,st_migrantov_v_obcino,st_migrantov_iz_obcine,placa_bruto,placa_neto
Rogatec,3094,401.36170000000004,946.3617000000004,1360.9,910.84
Rogaška Slatina,11129,2365.6542499999996,1974.6542500000003,1426.36,943.58
Rogašovci,3070,219.2632,600.2631999999999,1391.33,934.13
Ruše,7038,1003.6049999999999,1818.6049999999996,1896.86,1226.84
Selnica ob Dravi,4479,377.426,1349.4260000000004,1391.0,930.37
Semič,3838,692.5295000000001,899.5295000000002,1334.66,897.98
Sevnica,17586,1574.6950000000015,3516.695000000001,1526.46,1007.98
Sežana,13524,2530.1250000000005,2128.1250000000005,1586.94,1041.89
Slovenj Gradec,16599,3570.0855999999994,2264.0856,1614.95,1054.35
Slovenska Bistrica,25690,3064.5243,5257.5243,1637.46,1068.94
Slovenske Konjice,14993,2459.029750000001,3367.0297500000006,1476.25,976.15
Sodražica,2191,180.137,680.137,1496.82,1000.17
Solčava,517,93.67175000000002,111.67175,1518.88,1004.7
Središče ob Dravi,1951,262.88692307692304,683.8869230769232,1710.26,1102.35
Starše,4011,261.3497,1423.3497,1424.06,946.16
Straža,3912,543.9623076923076,1413.9623076923078,1369.89,919.28
Sveta Ana,2297,177.2352,686.2352000000002,1554.5,1024.91
Sveta Trojica v Slov. goricah,2083,186.28646153846154,741.2864615384616,1523.01,1004.71
Sveti Andraž v Slov. goricah,1187,95.5265,432.5265,1414.13,946.11
Sveti Jurij ob Ščavnici,2788,267.46250000000003,859.4625,1528.17,1013.2
Sveti Jurij v Slov. goricah,2083,191.42023076923078,735.4202307692309,1618.46,1062.82
Sveti Tomaž,1998,141.81015384615387,787.8101538461536,1542.83,1027.4
Tabor,1659,96.74100000000001,672.741,1272.92,866.34
Tišina,3970,244.4788,1233.4788,1617.52,1059.27
Tolmin,11031,1112.672,1497.6719999999998,1584.02,1054.54
Trbovlje,16037,884.2617,3089.2617,1688.28,1094.38
Trebnje,13018,2113.6236000000004,3307.6236000000004,1585.65,1040.98
Trnovska vas,1350,113.65585000000002,507.65585,1266.37,858.7
Trzin,3923,5374.09,1288.0900000000001,1754.23,1123.4
Tržič,14884,873.4992500000003,3865.4992500000003,1475.89,972.81
Turnišče,3170,317.25319999999994,894.2531999999999,1336.64,905.9
Velenje,33506,6231.770050000001,3844.7700499999987,1636.75,1064.65
Velika Polana,1412,107.20174999999998,495.2017500000001,1362.58,936.65
Velike Lašče,4383,358.05460000000005,1539.0545999999997,1375.78,916.15
Veržej,1290,198.35520000000002,393.3551999999999,1517.09,1009.41
Videm,5587,413.48404999999997,2193.48405,1313.67,883.54
Vipava,5634,966.0470499999999,1705.04705,1556.31,1034.22
Vitanje,2256,188.921,798.921,1614.66,1069.6
Vodice,4964,661.59,1894.5899999999997,1388.34,922.83
Vojnik,8846,1346.3232,3126.3232000000007,1482.71,980.67
Vransko,2620,417.6335,826.6335,1523.46,1006.41
Vrhnika,17452,1977.0025,5213.002499999999,1554.11,1027.06
Vuzenica,2648,138.1635,797.1635,1622.08,1068.77
Zagorje ob Savi,16453,896.4543999999996,3655.4543999999996,1516.33,996.63
Zavrč,1533,169.38240000000002,552.3824,1772.77,1174.21
Zreče,6505,2721.9259500000003,1230.9259500000003,1644.68,1052.64
Črenšovci,3958,271.72400000000005,1088.724,1519.44,997.24
Črna na Koroškem,3281,324.105,842.105,1703.61,1112.79
Črnomelj,14307,635.8901999999998,2405.8902,1480.52,979.68
Šalovci,1383,121.3969,405.3969,1490.38,996.0
Šempeter - Vrtojba,6243,4681.4331999999995,1656.4332000000002,1773.92,1151.42
Šentilj,8391,669.6755,1656.6755,1495.17,990.08
Šentjernej,7157,1098.1708999999998,2170.1709000000005,1782.93,1155.54
Šentjur,19186,2180.5296000000008,5272.5296,1469.25,976.13
Šentrupert,2978,656.2392307692307,852.2392307692309,1738.41,1136.11
Šenčur,8756,2083.7181,3203.7181000000005,1763.79,1133.56
Škocjan,3328,236.66319999999996,1243.6632,1583.14,1042.22
Škofja Loka,23216,5210.161250000002,5446.16125,1784.16,1162.91
Škofljica,11419,1815.9697,4238.9697,1488.12,987.31
Šmarje pri Jelšah,10278,1538.2798000000003,3118.2798000000007,1583.17,1043.07
Šmarješke Toplice,3400,548.6615384615384,1297.6615384615386,1532.12,1018.17
Šmartno ob Paki,3271,274.24320000000006,1221.2432000000001,1465.69,974.02
Šmartno pri Litiji,5629,692.0991111111111,1831.0991111111114,1342.69,904.16
Šoštanj,8735,1440.8297,2660.8296999999993,1645.12,1076.54
Štore,4576,1475.4771999999998,1459.4771999999998,1809.09,1177.18
Žalec,21425,4985.048049999999,4981.048049999999,1518.69,1001.5
Železniki,6699,1019.7208,1262.7208,1629.0,1084.1
Žetale,1297,103.3906,524.3906000000001,1554.11,1029.91
Žiri,4915,988.14625,810.14625,1532.9,1023.21
Žirovnica,4384,430.35760000000005,1591.4531999999997,1692.33,1102.7
Žužemberk,4648,422.8421999999998,1591.8422,1503.62,991.52
