id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6182884,"SEJANCI, OB CESTI",prodaja,Hiša,Sveti Tomaž,85.0,25000.0,1881.0,
o6336894,"SEJENICE, GOLJEK",prodaja,Posest,Trebnje,67200.0,85000.0,,
o6362779,SELA NA KRASU,prodaja,Hiša,Mirna,100.8,315000.0,1920.0,
o6325278,SELA NA KRASU,prodaja,Posest,Mirna,988.0,46000.0,,
o6199225,SELA NAD PODMELCEM,prodaja,Hiša,Tolmin,97.0,110000.0,1800.0,
o6341127,SELA PRI DOBOVI,prodaja,Hiša,Brežice,190.0,250000.0,2008.0,
o6181286,SELA PRI DOBOVI,prodaja,Hiša,Brežice,295.0,1000000.0,2006.0,
o6146938,SELA PRI DOBOVI,prodaja,Posest,Brežice,860.0,24.0,,
o5654761,SELA PRI DOBOVI,prodaja,Posest,Brežice,1607.0,23500.0,1000.0,
o6252344,SELA PRI DOBOVI,prodaja,Hiša,Brežice,2400.0,44900.0,1285.0,
o6125601,SELA PRI DOBOVI,prodaja,Posest,Brežice,3745.0,26.0,,
o6318469,SELA PRI DOBOVI,prodaja,Posest,Brežice,15000.0,20.0,,
o6279356,SELA PRI DOLENJSKIH TOPLICAH,prodaja,Posest,Dolenjske Toplice,1292.0,33000.0,,
o6314513,SELA PRI DOLENJSKIH TOPLICAH,prodaja,Posest,Dolenjske Toplice,2439.0,29000.0,,
o6373901,"SELA PRI HINJAH, VISEJEC",prodaja,Posest,Žužemberk,10490.0,85000.0,,
o6325387,SELA PRI KAMNIKU,prodaja,Hiša,Kamnik,184.7,175000.0,1978.0,
o6339722,SELA PRI KAMNIKU,prodaja,Hiša,Kamnik,290.0,140000.0,2000.0,
o6276587,SELA PRI RAKI,prodaja,Vikend,Krško,43.0,19000.0,1963.0,
o5952836,SELA PRI RAKI,prodaja,Hiša,Krško,240.0,75000.0,1961.0,
o6236148,SELA PRI SOBRAČAH,prodaja,Posest,Ivančna Gorica,486.0,11000.0,315.0,
o6330207,SELA PRI ŠTRAVBERKU,prodaja,Posest,Novo mesto,2989.0,22000.0,,
o6269114,SELA PRI ŠUMBERKU,prodaja,Posest,Trebnje,1345.0,39000.0,,
o6288254,SELA PRI ŠUMBERKU,prodaja,Posest,Trebnje,1500.0,13000.0,,
o6256572,SELA PRI ZAJČJEM VRHU,prodaja,Vikend,Novo mesto,42.4,22000.0,1870.0,
o6204451,SELCE,prodaja,Stanovanje,Cerknica,20.0,55000.0,1980.0,
o6258240,SELCE,prodaja,Stanovanje,Cerknica,30.0,90000.0,1980.0,1.5
o6354192,SELCE,prodaja,Počitniški objekt,Cerknica,36.33,83000.0,2007.0,
o6234362,SELCE,prodaja,Stanovanje,Cerknica,47.0,110000.0,1998.0,
o6233116,SELCE,prodaja,Stanovanje,Cerknica,50.0,99000.0,2006.0,3.0
o6258775,SELCE,prodaja,Stanovanje,Cerknica,62.0,125000.0,1994.0,2.0
o6167706,SELCE,prodaja,Hiša,Cerknica,70.0,160000.0,1963.0,
o6234359,SELCE,prodaja,Stanovanje,Cerknica,72.0,165000.0,1998.0,3.0
o6257397,SELCE,prodaja,Hiša,Cerknica,74.0,125000.0,1911.0,
o6261518,SELCE,prodaja,Stanovanje,Cerknica,75.0,150000.0,2016.0,
o6373794,SELCE,prodaja,Hiša,Cerknica,80.0,245000.0,1965.0,
o6182330,SELCE,prodaja,Hiša,Cerknica,90.0,139000.0,1950.0,
o6170959,SELCE,prodaja,Hiša,Cerknica,90.0,130000.0,1934.0,
o6282678,SELCE,prodaja,Hiša,Cerknica,107.27,180000.0,1979.0,
o6235260,SELCE,prodaja,Stanovanje,Cerknica,111.0,200000.0,1990.0,4.0
o6317138,SELCE,prodaja,Stanovanje,Cerknica,126.0,299000.0,1972.0,
o6234414,SELCE,prodaja,Hiša,Cerknica,200.0,360000.0,1973.0,
o6239157,SELCE,prodaja,Hiša,Cerknica,220.0,250000.0,1965.0,
o6266802,SELCE,prodaja,Hiša,Cerknica,225.0,550000.0,2015.0,
o6257217,SELCE,prodaja,Hiša,Cerknica,270.0,290000.0,1990.0,
o6239687,SELCE,prodaja,Hiša,Cerknica,350.0,700000.0,2006.0,
o6234417,SELCE,prodaja,Hiša,Cerknica,450.0,1200000.0,2002.0,
o6233589,SELCE,prodaja,Posest,Pivka,4144.0,25.0,,
o6182599,SELCE PRI LESKOVCU,prodaja,Vikend,Krško,35.0,21000.0,1898.0,
o6200826,SELCI KRIŽOVLJANSKI,prodaja,Hiša,Pesnica,200.0,170000.0,1991.0,
o6366976,SELCI KRIŽOVLJANSKI,prodaja,Vikend,Pesnica,240.0,55000.0,1985.0,
o6354966,SELE,prodaja,Hiša,Šentjur,129.4,57000.0,1973.0,
o6356388,SELE - DEL,prodaja,Poslovni prostor,Slovenj Gradec,1173.0,385000.0,2000.0,
o6266195,SELE - DEL,prodaja,Poslovni prostor,Slovenj Gradec,1173.0,385000.0,2000.0,
o6266036,SELE - DEL,prodaja,Hiša,Slovenj Gradec,1173.0,385000.0,2000.0,
o6356971,SELE - DEL,prodaja,Posest,Slovenj Gradec,30166.0,385000.0,,
o6266181,SELE - DEL,prodaja,Posest,Slovenj Gradec,30166.0,385000.0,3016.0,
o6365227,SELE - DEL,prodaja,Posest,Slovenj Gradec,136708.0,250000.0,,
