zacetek,konec,razdalja,cas
Ajdovščina,Črnomelj,167623,7361
Ajdovščina,Šalovci,287767,10801
Ajdovščina,Šempeter - Vrtojba,23299,1096
Ajdovščina,Šentilj,231588,8405
Ajdovščina,Šentjernej,160224,5813
Ajdovščina,Šentjur,172226,6315
Ajdovščina,Šentrupert,137676,5281
Ajdovščina,Šenčur,102803,3802
Ajdovščina,Škocjan,157902,5568
Ajdovščina,Škofja Loka,100436,4386
Ajdovščina,Škofljica,89093,3473
Ajdovščina,Šmarje pri Jelšah,183185,7111
Ajdovščina,Šmarješke Toplice,152419,5450
Ajdovščina,Šmartno ob Paki,153539,5910
Ajdovščina,Šmartno pri Litiji,122251,5182
Ajdovščina,Šoštanj,162903,6419
Ajdovščina,Štore,166247,6172
Ajdovščina,Žalec,148275,5575
Ajdovščina,Železniki,115587,5402
Ajdovščina,Žetale,236198,8425
Ajdovščina,Žiri,42277,3529
Ajdovščina,Žirovnica,133264,4920
Ajdovščina,Žužemberk,128027,5017
Ankaran/Ancarano,Ajdovščina,63513,2532
Ankaran/Ancarano,Apače,265950,9888
Ankaran/Ancarano,Beltinci,287008,10162
Ankaran/Ancarano,Benedikt,255038,9128
Ankaran/Ancarano,Bistrica ob Sotli,227321,8371
Ankaran/Ancarano,Bled,154226,5608
Ankaran/Ancarano,Bloke,88278,3994
Ankaran/Ancarano,Bohinj,176638,7041
Ankaran/Ancarano,Borovnica,94207,3852
Ankaran/Ancarano,Bovec,159560,7893
Ankaran/Ancarano,Braslovče,168079,6075
Ankaran/Ancarano,Brda,80781,4145
Ankaran/Ancarano,Brezovica,102465,4622
Ankaran/Ancarano,Brežice,205513,7135
Ankaran/Ancarano,Cankova,284415,10562
Ankaran/Ancarano,Celje,182984,6630
Ankaran/Ancarano,Cerklje na Gorenjskem,125033,4781
Ankaran/Ancarano,Cerknica,78506,3931
Ankaran/Ancarano,Cerkno,121705,6061
Ankaran/Ancarano,Cerkvenjak,258148,9003
Ankaran/Ancarano,Cirkulane,259303,9494
Ankaran/Ancarano,Destrnik,244191,9307
Ankaran/Ancarano,Divača,33229,1427
Ankaran/Ancarano,Dobje,207945,7950
Ankaran/Ancarano,Dobrepolje,133861,5405
Ankaran/Ancarano,Dobrna,184821,6814
Ankaran/Ancarano,Dobrova - Polhov Gradec,101465,4402
Ankaran/Ancarano,Dobrovnik/Dobronak,294858,10509
Ankaran/Ancarano,Dol pri Ljubljani,120145,4419
Ankaran/Ancarano,Dolenjske Toplice,167413,6838
Ankaran/Ancarano,Domžale,118870,4580
Ankaran/Ancarano,Dornava,251534,8959
Ankaran/Ancarano,Dravograd,215518,9309
Ankaran/Ancarano,Duplek,235142,8485
Ankaran/Ancarano,Gorenja vas - Poljane,111970,5261
Ankaran/Ancarano,Gorišnica,255500,9217
Ankaran/Ancarano,Gorje,158967,5994
Ankaran/Ancarano,Gornja Radgona,267767,9855
Ankaran/Ancarano,Gornji Grad,154680,7144
Ankaran/Ancarano,Gornji Petrovci,304641,11251
Ankaran/Ancarano,Grad,162340,6395
Ankaran/Ancarano,Grosuplje,119477,4369
Ankaran/Ancarano,Hajdina,230527,8306
Ankaran/Ancarano,Hodoš/Hodos,314826,11836
Ankaran/Ancarano,Horjul,93886,3755
Ankaran/Ancarano,Hoče - Slivnica,225630,7937
Ankaran/Ancarano,Hrastnik,172059,6913
Ankaran/Ancarano,Hrpelje - Kozina,24610,1132
Ankaran/Ancarano,Idrija,101832,4743
Ankaran/Ancarano,Ig,112472,4198
Ankaran/Ancarano,Ilirska Bistrica,56391,3077
Ankaran/Ancarano,Ivančna Gorica,132769,4841
Ankaran/Ancarano,Izola/Isola,16282,937
Ankaran/Ancarano,Jesenice,162409,5925
Ankaran/Ancarano,Jezersko,151395,6372
Ankaran/Ancarano,Juršinci,247080,9553
Ankaran/Ancarano,Kamnik,127278,5017
Ankaran/Ancarano,Kanal,108590,4722
Ankaran/Ancarano,Kidričevo,228058,8222
Ankaran/Ancarano,Kobarid,138950,6522
Ankaran/Ancarano,Kobilje,301500,10982
Ankaran/Ancarano,Komen,48272,2602
Ankaran/Ancarano,Komenda,122485,4646
Ankaran/Ancarano,Koper/Capodistria,6653,609
Ankaran/Ancarano,Kostanjevica na Krki,193180,6903
Ankaran/Ancarano,Kostel,151197,7709
Ankaran/Ancarano,Kozje,224094,8797
Ankaran/Ancarano,Kočevje,127434,6401
Ankaran/Ancarano,Kranj,129903,4946
Ankaran/Ancarano,Kranjska Gora,184737,7010
