id,ime,maticna_stevilka,obcina,zaposleni,dobicek
1889664000,NATON d.o.o.,1889664000,Ljubljana,500 do 999 zaposlenih,23742
5034345000,NEK d.o.o.Oglas,5034345000,Krško,500 do 999 zaposlenih,0
6489087000,NLZOHOglas,6489087000,Maribor,500 do 999 zaposlenih,
5143373000,NOMAGO d.o.o.Oglas,5143373000,Ljubljana,500 do 999 zaposlenih,4351970
5432316000,NOVEM CAR INTERIOR DESIGN d.o.o.,5432316000,Žalec,500 do 999 zaposlenih,189684
5022762000,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,Ljubljana,500 do 999 zaposlenih,
5165792000,OZG,5165792000,Kranj,500 do 999 zaposlenih,
5785596000,PALFINGER d.o.o.,5785596000,Maribor,500 do 999 zaposlenih,3592638
5034639000,Paloma d.d.,5034639000,Šentilj,500 do 999 zaposlenih,1573154
5049318000,Pivovarna Laško Union d.o.o.Oglas,5049318000,Ljubljana,500 do 999 zaposlenih,24388622
5616514000,SAFILO d.o.o. Ormož,5616514000,Ormož,500 do 999 zaposlenih,801611
5542421000,SALOMON d.o.o. Ljubljana,5542421000,Ljubljana,500 do 999 zaposlenih,-1179584
5053692000,SB JESENICE,5053692000,Jesenice,500 do 999 zaposlenih,
5055695000,SB Nova Gorica,5055695000,Šempeter  -Vrtojba,500 do 999 zaposlenih,
5054958000,SB Slovenj Gradec,5054958000,Slovenj Gradec,500 do 999 zaposlenih,
1367439000,SIJ RAVNE SYSTEMS d.o.o.,1367439000,Ravne na Koroškem,500 do 999 zaposlenih,-869744
5446252000,SINTAL d.o.o.Oglas,5446252000,Ljubljana,500 do 999 zaposlenih,1707955
2229170000,SLOREST d.o.o.,2229170000,Ljubljana,500 do 999 zaposlenih,462140
1399632000,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,1399632000,Izola,500 do 999 zaposlenih,
5045657000,STEKLARNA ROGAŠKA d.o.o.Oglas,5045657000,Rogaška Slatina,500 do 999 zaposlenih,1307550
2159287000,Sandoz d.d.Oglas,2159287000,Ljubljana,500 do 999 zaposlenih,11172000
5571472000,Sovita d.o.o.Oglas,5571472000,Ljubljana,500 do 999 zaposlenih,1078270
6017274000,"SŽ - Potniški promet, d.o.o.",6017274000,Ljubljana,500 do 999 zaposlenih,8942680
5824290000,"SŽ - ŽIP, d.o.o.",5824290000,Ljubljana,500 do 999 zaposlenih,0
5103363000,TAB d.d.Oglas,5103363000,Mežica,500 do 999 zaposlenih,21101598
5035805000,TBP d.d.Oglas,5035805000,Lenart,500 do 999 zaposlenih,2094482
5600120000,"TERME KRKA, d.o.o., Novo mesto",5600120000,Novo mesto,500 do 999 zaposlenih,800136
5284112000,TPV AUTOMOTIVE d.o.o.,5284112000,Novo mesto,500 do 999 zaposlenih,1535930
5692229000,Telemach d.o.o.Oglas,5692229000,Ljubljana,500 do 999 zaposlenih,5737031
1661205000,"Trelleborg Slovenija, d.o.o.Oglas",1661205000,Kranj,500 do 999 zaposlenih,11425000
1626914000,UL BF,1626914000,Ljubljana,500 do 999 zaposlenih,
1627058000,UL FF,1627058000,Ljubljana,500 do 999 zaposlenih,
1627066000,UL MF,1627066000,Ljubljana,500 do 999 zaposlenih,
1810014000,UP,1810014000,Koper,500 do 999 zaposlenih,
1191004000,UPK Ljubljana,1191004000,Ljubljana,500 do 999 zaposlenih,
5888093000,UPRAVA RS ZA IZVRŠEVANJE KAZENSKIH SANKCIJ,5888093000,Ljubljana,500 do 999 zaposlenih,
5053919000,URI - SočaOglas,5053919000,Ljubljana,500 do 999 zaposlenih,
3716481000,WEILER Abrasives d.o.o.,3716481000,Maribor,500 do 999 zaposlenih,298559
2160544000,WORKFORCE d.o.o.,2160544000,Kranj,500 do 999 zaposlenih,243795
5054095000,ZD MARIBOR,5054095000,Maribor,500 do 999 zaposlenih,
5786380000,ZGS,5786380000,Ljubljana,500 do 999 zaposlenih,
5156700000,ZPIZOglas,5156700000,Ljubljana,500 do 999 zaposlenih,
5300410000,Zavod za zaposlovanje,5300410000,Ljubljana,500 do 999 zaposlenih,
5554195000,Zavod za zdravstveno zavarovanje SlovenijeOglas,5554195000,Ljubljana,500 do 999 zaposlenih,
5606454000,dm drogerie markt d.o.o.,5606454000,Ljubljana,500 do 999 zaposlenih,2847795
1197967000,ŠTORE STEEL d.o.o.,1197967000,Štore,500 do 999 zaposlenih,2863104
5391814000,ŽITO d.o.o.,5391814000,Ljubljana,500 do 999 zaposlenih,6102534
6731902000,A.M Montaža d.o.o.,6731902000,Maribor,200 do 249 zaposlenih,403541
1732528000,ADRIA DOM d.o.o.,1732528000,Črnomelj,200 do 249 zaposlenih,4065700
3727980000,"ADRIA TEHNIKA, d.o.o.",3727980000,Cerklje na Gorenjskem,200 do 249 zaposlenih,-747930
1732803000,AJPES,1732803000,Ljubljana,200 do 249 zaposlenih,
5794862000,AKTIVA TS d.o.o.,5794862000,Trzin,200 do 249 zaposlenih,258733
5352657000,ARRIVA DOLENJSKA IN PRIMORSKA d.o.o.,5352657000,Koper,200 do 249 zaposlenih,7506212
